objid,ra,dec,u,g,r,i,z,class
1237648703523782905,230.024563050042,-0.634309682871488,19.54478,19.25223,19.34665,19.2,18.82445,QSO
1237648704595296579,225.079513283898,0.0469655071625423,19.40581,19.22081,18.71017,18.44879,17.89048,QSO
1237648705132888168,226.62182796481,0.595329064636711,18.96363,18.67637,18.47234,18.41949,17.96547,QSO
1237649920044564585,27.0584927114859,14.1481225705464,19.3357,19.18638,18.96955,18.87539,18.23789,QSO
1237651272434516116,168.41717579245,66.3431575017949,19.27409,19.10486,18.70957,18.37887,18.02596,QSO
1237651272970666066,164.005014923111,66.1273972404466,19.37916,19.08418,18.74,18.4968,18.03878,QSO
1237651496832336132,120.392823813578,47.3832401033245,19.16133,18.81584,18.53808,18.4897,17.94284,QSO
1237651537634459744,162.523479260095,64.9487325602248,18.99713,18.71324,18.53308,18.56166,18.26762,QSO
1237651539261194318,239.073282173418,55.139194345687,16.96616,16.85926,16.88287,16.92898,16.48248,QSO
1237651735782031608,237.209174413322,0.930301327289405,19.24612,19.03793,18.90368,18.85078,18.28737,QSO
1237651736282792046,154.795169890433,2.08304855226791,19.23989,19.05622,18.92154,18.89083,18.58935,QSO
1237651753470722145,173.697466119461,2.11105833472207,19.47103,19.27706,19.17428,19.11175,18.61748,QSO
1237651754548134056,182.174158079084,2.92801839798602,19.54723,19.25048,19.0819,18.94674,18.56676,QSO
1237651755091951648,198.002062698327,3.29211363297768,18.96962,18.58417,18.47353,18.35672,18.34713,QSO
1237651801773703339,156.261449065893,0.524102148793971,19.44756,19.24045,18.61061,18.33903,17.81988,QSO
1237651822707212426,211.01939386593,4.61631536525323,19.50314,19.08244,18.59251,18.34272,17.8862,QSO
1237651823250047187,224.747308534883,4.27051463843497,19.30114,18.63506,18.05463,17.63392,17.28532,QSO
1237652899686580241,28.35065897223,-10.0096567147335,17.55897,17.51949,17.59381,17.6968,17.12317,QSO
1237652900770676892,52.0941179862041,-6.72666855909946,19.52157,19.28345,19.10452,18.94392,18.50206,QSO
1237652901297586185,29.1168444502194,-8.70247138728254,18.44497,18.21486,18.19762,18.13322,17.79946,QSO
1237652901304533008,45.0891766320489,-7.24968605215563,17.24653,16.95065,17.02889,16.98607,16.64518,QSO
1237652901306499242,49.6711523833674,-6.67914778939803,19.2711,19.13877,18.72663,18.43768,18.0342,QSO
1237652901308006638,52.9944405962306,-6.12448089302088,19.23166,18.88378,18.20484,17.83569,17.37669,QSO
1237652937792356458,316.712974510205,9.15999794467248,17.78971,17.60167,17.64261,17.6137,17.11403,QSO
1237652942632386695,345.703658533802,13.7648519390561,19.23088,18.93486,18.81944,18.70955,18.09688,QSO
1237652942633894037,349.348999066603,13.9847842070454,18.46874,18.23631,18.30714,18.21276,17.61942,QSO
1237652944246603823,354.125250755604,15.5272871841223,18.84444,18.72245,18.69125,18.58033,18.16144,QSO
1237652944250208447,2.78661064701043,15.6812346253935,19.27186,19.01145,18.66231,18.49123,18.05546,QSO
1237652944771023460,324.984086270329,12.8413398858605,19.05054,18.86457,18.65326,18.38824,18.0151,QSO
1237653471443812377,43.0231505736062,-7.96376773335734,18.95446,18.798,18.61619,18.48415,17.94245,QSO
1237653652918173737,22.4446363398482,15.0825663162781,18.3443,18.10577,18.02469,17.97646,17.31545,QSO
1237654028713525386,161.407513851851,1.3427318528573,19.3039,19.0548,18.71577,18.59443,18.27665,QSO
1237654029790085197,167.90906758856,2.22546067104751,18.56222,18.34623,18.14037,18.13373,17.82378,QSO
1237654030328332386,170.942690695196,2.66024550668826,19.15862,18.84803,18.5696,18.47327,18.09245,QSO
1237654383587033281,132.493683260798,50.9136955333842,19.33123,19.0004,18.70742,18.64913,18.28437,QSO
1237654390570877047,129.790303395536,47.4169697501551,18.88078,18.72948,18.46007,18.32399,17.87019,QSO
